fecha,aerolinea,vuelos,pasajeros,asientos,ocupacion
2021-07-01,LADE - Líneas Aéreas Del Estado,53,809,2177,38
2021-08-01,Aerolíneas Argentinas,3118,363954,424059,86
2021-08-01,Flybondi,571,99235,107806,93
2021-08-01,JetSMART Airlines,600,80558,111468,73
2021-08-01,LADE - Líneas Aéreas Del Estado,49,478,1678,29
2021-09-01,Aerolíneas Argentinas,3540,424624,477530,89
2021-09-01,Flybondi,580,103020,109622,94
2021-09-01,JetSMART Airlines,665,100832,123584,82
2021-09-01,LADE - Líneas Aéreas Del Estado,73,613,2354,27
2021-10-01,Aerolíneas Argentinas,4170,511501,580662,89
2021-10-01,Flybondi,610,108500,115182,95
2021-10-01,JetSMART Airlines,743,112574,138105,82
2021-10-01,LADE - Líneas Aéreas Del Estado,70,781,2266,35
2021-11-01,Aerolíneas Argentinas,4830,593850,680619,88
2021-11-01,Flybondi,741,130292,140049,94
2021-11-01,JetSMART Airlines,788,125807,146568,86
2021-11-01,LADE - Líneas Aéreas Del Estado,88,800,2805,29
2021-12-01,Aerolíneas Argentinas,4793,627202,711770,89
2021-12-01,Flybondi,784,138952,148157,94
2021-12-01,JetSMART Airlines,807,134157,150102,90
2021-12-01,LADE - Líneas Aéreas Del Estado,87,842,2681,32
2022-01-01,Aerolíneas Argentinas,5375,671232,789268,86
2022-01-01,Flybondi,703,124850,132773,95
2022-01-01,JetSMART Airlines,859,143364,159809,90
2022-01-01,LADE - Líneas Aéreas Del Estado,72,1214,2833,43
2022-02-01,Aerolíneas Argentinas,5150,677225,753541,90
2022-02-01,Flybondi,738,133236,139388,96
2022-02-01,JetSMART Airlines,817,137406,151856,91
2022-02-01,LADE - Líneas Aéreas Del Estado,60,617,2132,29
2022-03-01,Aerolíneas Argentinas,5877,742575,859003,87
2022-03-01,Flybondi,786,138687,148390,94
2022-03-01,JetSMART Airlines,887,146744,164921,89
2022-03-01,LADE - Líneas Aéreas Del Estado,110,882,3511,26
2022-04-01,Aerolíneas Argentinas,6046,734427,867655,85
2022-04-01,Flybondi,853,150126,161085,94
2022-04-01,JetSMART Airlines,880,137021,163592,84
2022-04-01,LADE - Líneas Aéreas Del Estado,89,861,3079,28
2022-05-01,Aerolíneas Argentinas,6151,706663,874459,81
2022-05-01,Flybondi,752,130067,142106,92
2022-05-01,JetSMART Airlines,1000,157713,185907,85
2022-05-01,LADE - Líneas Aéreas Del Estado,114,860,3516,25
2022-06-01,Aerolíneas Argentinas,5973,685402,847896,81
2022-06-01,Flybondi,883,148640,166767,90
2022-06-01,JetSMART Airlines,966,151522,179687,85
2022-06-01,LADE - Líneas Aéreas Del Estado,110,848,3524,25
2022-07-01,Aerolíneas Argentinas,6982,859332,997452,87
2022-07-01,Flybondi,962,168447,181851,93
2022-07-01,JetSMART Airlines,1085,179044,201767,89
2022-07-01,LADE - Líneas Aéreas Del Estado,146,1358,4549,30
2022-08-01,Aerolíneas Argentinas,7115,851182,1017170,84
2022-08-01,Flybondi,1146,199985,216568,93
2022-08-01,JetSMART Airlines,1074,171194,199754,86
2022-08-01,LADE - Líneas Aéreas Del Estado,130,1169,3737,32
2022-09-01,Aerolíneas Argentinas,6659,816056,954785,86
2022-09-01,Flybondi,1171,206394,221299,94
2022-09-01,JetSMART Airlines,970,159223,180268,89
2022-09-01,LADE - Líneas Aéreas Del Estado,140,1333,4181,32
2022-10-01,Aerolíneas Argentinas,7253,896327,1044320,86
2022-10-01,Flybondi,1258,223093,237645,94
2022-10-01,JetSMART Airlines,1203,201837,223668,91
2022-10-01,LADE - Líneas Aéreas Del Estado,153,1881,4915,39
2022-11-01,Aerolíneas Argentinas,6840,845367,989154,86
2022-11-01,Flybondi,1287,226346,243101,94
2022-11-01,JetSMART Airlines,1249,205922,232350,89
2022-11-01,LADE - Líneas Aéreas Del Estado,86,773,2733,29
2022-12-01,Aerolíneas Argentinas,7356,823493,1041214,80
2022-12-01,Flybondi,1619,276923,305847,91
2022-12-01,JetSMART Airlines,1273,200870,236796,85
2022-12-01,LADE - Líneas Aéreas Del Estado,104,1113,3467,33
2023-01-01,Aerolíneas Argentinas,7778,904753,1093830,83
2023-01-01,Flybondi,1522,274448,287560,96
2023-01-01,JetSMART Airlines,1250,206244,232584,89
