ds;aerolinea;yhat;yhat_lower;yhat_upper
2020-04-30;Andes Líneas Aéreas;27001,802973451337;-4472,525354015183;56697,38911263413
2020-05-31;Andes Líneas Aéreas;18981,96974025572;-10928,856076047416;47657,24036855109
2020-06-30;Andes Líneas Aéreas;18994,297867147834;-8378,608358872802;50415,42994499803
2020-07-31;Andes Líneas Aéreas;29879,27138724092;105,03355289125214;58578,57082484841
2020-08-31;Andes Líneas Aéreas;32996,3047920887;5415,815807186468;61245,750121140896
2020-09-30;Andes Líneas Aéreas;31735,676692945282;3588,4765622991017;61936,21231042893
2020-10-31;Andes Líneas Aéreas;27981,923033812243;-613,999171337537;56833,4686149603
2020-11-30;Andes Líneas Aéreas;24675,87626252752;-6037,210889860815;52887,07300303979
2020-12-31;Andes Líneas Aéreas;26175,239582267688;-801,0300913013841;53318,95857155939
2021-01-31;Andes Líneas Aéreas;26396,072197387308;-3597,2880885496816;56018,455989848124
2021-02-28;Andes Líneas Aéreas;18051,600999168542;-11289,593969266083;47329,21071333551
2021-03-31;Andes Líneas Aéreas;16572,67078406623;-13934,099745741618;45481,20299366266
2021-04-30;Andes Líneas Aéreas;13432,25228636288;-14384,199165284432;44099,3503472359
2021-05-31;Andes Líneas Aéreas;8018,05362719141;-22915,20574290688;36563,83028191919
2021-06-30;Andes Líneas Aéreas;7666,987191259466;-22156,91205519476;38528,28087112949
2021-07-31;Andes Líneas Aéreas;20527,221658535236;-7338,885034487244;49544,95625123046
2021-08-31;Andes Líneas Aéreas;23052,204324505303;-8696,888090497407;53212,36992594404
2021-09-30;Andes Líneas Aéreas;21050,789869506036;-10796,883971335832;49298,29576962839
2021-10-31;Andes Líneas Aéreas;17308,64523475842;-11723,744647709873;47651,00911399321
2021-11-30;Andes Líneas Aéreas;12200,706013200182;-16111,139245936478;41404,449845084084
2021-12-31;Andes Líneas Aéreas;15254,981538371889;-16090,063470347633;43921,453364774905
2022-01-31;Andes Líneas Aéreas;15411,93373104267;-13434,878918665556;44978,62282617011
2022-02-28;Andes Líneas Aéreas;9484,158955830735;-21514,24284075834;38437,244711300635
2022-03-31;Andes Líneas Aéreas;6862,441933280015;-20815,861740209617;33285,51045660399
2022-04-30;Andes Líneas Aéreas;-148,6034351509943;-28855,062162862127;29835,804962286704
2022-05-31;Andes Líneas Aéreas;-2895,3747857708086;-34199,935836531;26879,503642645734
2022-06-30;Andes Líneas Aéreas;-3600,4718683333676;-35502,77175318408;23819,641946614498
